1002: 神里绫华
1003: 琴
1005: 空
1006: 丽莎
1007: 荧
1014: 芭芭拉
1015: 凯亚
1016: 迪卢克
1020: 雷泽
1021: 安柏
1022: 温迪
1023: 香菱
1024: 北斗
1025: 行秋
1026: 魈
1027: 凝光
1029: 可莉
1030: 钟离
1031: 菲谢尔
1032: 班尼特
1033: 达达利亚
1034: 诺艾尔
1035: 七七
1036: 重云
1037: 甘雨
1038: 阿贝多
1039: 迪奥娜
1041: 莫娜
1042: 刻晴
1043: 砂糖
1044: 辛焱
1045: 罗莎莉亚
1046: 胡桃
1047: 枫原万叶
1048: 烟绯
1049: 宵宫
1050: 托马
1051: 优菈
1052: 雷电将军
1053: 早柚
1054: 珊瑚宫心海
1055: 五郎
1056: 九条裟罗
1057: 荒泷一斗
1058: 八重神子
1060: 夜兰
1062: 埃洛伊
1063: 申鹤
1064: 云堇
1065: 久岐忍
1066: 神里绫人
10000001: 凯特
11000008: 队伍测试4号
11000009: 场景测试
11000010: 裸模1号
11000011: 裸男
11000013: 联机测试
11000017: 成男体型测试
11000018: 成女体型测试
11000019: 少女体型测试
11000025: 阿葵丽雅
11000026: 瑶瑶
11000027: 少女体型测试-二号机
11000028: 白盒少女
11000030: 大剑少女
11000031: 后武器测试A
11000032: 后武器测试B
11000033: 后武器测试C
11000034: 后武器测试D
11000035: 长枪成女
11000036: 单手剑成女测试
11000037: Rx白盒
11000038: 少男体型测试
11000039: 成男体型测试
11000040: 女主新普攻
11000041: 男主新普攻
11000042: 重云（测试）
11000043: 测试角色
11000044: 七七（测试）
11000045: 迪奥娜(测试)
