101: 角色经验
102: 冒险阅历
103: 星尘
104: 星辉
105: 好感经验
106: 原粹树脂
107: 传说钥匙
108: (test)天体推演
109: 熄星能量
110: 熄星精粹
111: 微光精粹
112: 温暖精粹
113: 奇迹精粹
114: 铁钱
115: 平安玉符
116: 节庆热度
117: 奇术符
118: 庆典巡回券
119: 奇趣协力券
120: 纯水真心
121: 信任值
122: 碎果数据
123: 迷踪币
124: 亮闪闪的漂流物
125: 迷你「羽球」
126: 神秘齿轮
127: 鸣雷霰子
128: 鸣雷纯晶
129: 弈棋术经验
130: 灵妙玉符
131: 逐月节节庆热度
132: 残悴之式札
133: 虚损之拓本
134: 朽裂之庚牌
135: 踏雪章
136: 克险章
137: 逢福玉符
138: 完璧玉符
139: 降魔玉符
201: 原石
202: 摩拉
203: 创世结晶
204: 洞天宝钱
210: 原粹精珀（废弃）
211: 原粹树脂（废弃）
221: 无主的星辉
222: 无主的星尘
223: 纠缠之缘
224: 相遇之缘
301: 火之印
302: 水之印
303: 草之印
304: 雷之印
305: 风之印
306: 冰之印
307: 岩之印
315: 声望经验·蒙德
317: 声望经验·璃月
314: 声望经验·稻妻
911: 恒常燃烧的记忆
912: 奔流不息的记忆
913: 草木繁茂的记忆
914: 苍雷紫电的记忆
915: 四方之风的记忆
916: 至冬极寒的记忆
917: 不动晶石的记忆
1002: 神里绫华
1003: 琴
1005: 男主
1006: 丽莎
1007: 女主
1014: 芭芭拉
1015: 凯亚
1016: 迪卢克
1020: 雷泽
1021: 安柏
1022: 温迪
1023: 香菱
1024: 北斗
1025: 行秋
1026: 魈
1027: 凝光
1029: 可莉
1030: 钟离
1031: 菲谢尔
1032: 班尼特
1033: 达达利亚
1034: 诺艾尔
1035: 七七
1036: 重云
1037: 甘雨
1038: 阿贝多
1039: 迪奥娜
1041: 莫娜
1042: 刻晴
1043: 砂糖
1044: 辛焱
1045: 罗莎莉亚
1046: 胡桃
1047: 枫原万叶
1048: 烟绯
1049: 宵宫
1050: 托马
1051: 优菈
1052: 雷电将军
1053: 早柚
1054: 珊瑚宫心海
1055: 五郎
1056: 九条裟罗
1057: 荒泷一斗
1058: 八重神子
1062: 埃洛伊
1063: 申鹤
1064: 云堇
1066: 神里绫人
1102: 神里绫华的命星
1103: 琴的命星
1105: 旅行者（男）的命星
1106: 丽莎的命星
1107: 旅行者（女）的命星
1114: 芭芭拉的命星
1115: 凯亚的命星
1116: 迪卢克的命星
1120: 雷泽的命星
1121: 安柏的命星
1122: 温迪的命星
1123: 香菱的命星
1124: 北斗的命星
1125: 行秋的命星
1126: 魈的命星
1127: 凝光的命星
1129: 可莉的命星
1130: 钟离的命星
1131: 菲谢尔的命星
1132: 班尼特的命星
1133: 达达利亚的命星
1134: 诺艾尔的命星
1135: 七七的命星
1136: 重云的命星
1137: 甘雨的命星
1138: 阿贝多的命星
1139: 迪奥娜的命星
1141: 莫娜的命星
1142: 刻晴的命星
1143: 砂糖的命星
1144: 辛焱的命星
1145: 罗莎莉亚的命星
1146: 胡桃的命星
1147: 枫原万叶的命星
1148: 烟绯的命星
1149: 宵宫的命星
1150: 托马的命星
1151: 优菈的命星
1152: 雷电将军的命星
1153: 早柚的命星
1154: 珊瑚宫心海的命星
1155: 五郎的命星
1156: 九条裟罗的命星
1157: 荒泷一斗的命星
1158: 八重神子的命星
1162: 埃洛伊的命星
1163: 申鹤的命星
1164: 云堇的命星
1166: 神里绫人的命星
1201: 珍珠纪行·初稿
1202: 空月祝福·新月
2001: 元素能量球(火)
2002: 元素能量球(水)
2003: 元素能量球(草)
2004: 元素能量球(电)
2005: 元素能量球(风)
2006: 元素能量球(冰)
2007: 元素能量球(岩)
2008: 元素能量球(全)
2017: 原子能量球(火)
2018: 原子能量球(水)
2019: 原子能量球(草)
2020: 原子能量球(电)
2021: 原子能量球(风)
2022: 原子能量球(冰)
2023: 原子能量球(岩)
2024: 原子能量球(全)
2025: 任务用-超量原子能量球(全)
2026: 时间碎片（玩法道具）
2027: 时间碎片（玩法道具）
2028: 任务用-元素蜜囊原子能量球
2029: 任务用-元素蜜囊原子能量球
3001: (test)测试随机宝箱
3002: (test)测试固定宝箱
3003: (test)角色卡扭蛋
3004: (test)神里绫华-cb1用
3005: (test)香菱-cb1用
3006: (test)琴-cb1用
3007: (test)迪卢克-cb1用
3008: (test)温迪-cb1用
3018: (test)芭芭拉-cb1用
3019: (test)雷泽-cb1用
3009: (test)神里绫华测试包-cb1用
3010: (test)香菱测试包-cb1用
3011: (test)琴测试包-cb1用
3012: (test)迪卢克测试包-cb1用
3013: (test)温迪测试包-cb1用
3014: (test)安柏测试包-cb1用
3015: (test)凯亚测试包-cb1用
3016: (test)丽莎测试包-cb1用
3017: (test)芭芭拉测试包-cb1用
3020: (test)雷泽测试包-cb1用
3021: 凯亚
3022: 丽莎
100001: 苹果
100002: 日落果
100011: 蘑菇
100012: 甜甜花
100013: 胡萝卜
100014: 白萝卜
100015: 金鱼草
100016: 薄荷
100017: 小麦
100018: 卷心菜
100019: 天原银莲
100020: 松果
100021: 钩钩果
100022: 落落莓
100023: 塞西莉亚花
100024: 风车菊
100025: 慕风蘑菇
100026: 莲蓬
100027: 绝云椒椒
100028: 夜泊石
100029: 霓裳花
100030: 琉璃百合
100031: 清心
100032: 马尾
100033: 星螺
100034: 琉璃袋
100051: 树莓
100052: 冰雾花花朵
100053: 烈焰花花蕊
100054: 电气水晶
100055: 小灯草
100056: 嘟嘟莲
100057: 蒲公英籽
100058: 石珀
100061: 兽肉
100062: 鸟蛋
100063: 松茸
100064: 禽肉
100072: 蝴蝶翅膀
100073: 螃蟹
100074: 蟹黄
100075: 盐
100076: 洋葱
100077: 胡椒
100078: 牛奶
100079: 番茄
100080: 土豆
100081: 青蛙
100082: 发光髓
100083: 蜥蜴尾巴
100084: 鱼肉
100085: 晶核
100086: 小块兽肉
100087: 小块禽肉
100088: 豆腐
100089: 杏仁
100090: 鳅鳅宝玉
100091: 竹笋
100092: 稻米
100093: 虾仁
100094: 「冷鲜肉」
100095: 鳗肉
101001: 铁块
101002: 白铁块
101003: 水晶块
101004: 魔晶块
101005: 深赤之石
101006: 星银矿石
101007: 深赤之石
101008: 紫晶块
101101: 北陆单手剑原胚
101102: 北陆弓原胚
101103: 北陆双手剑原胚
101104: 北陆法器原胚
101105: 北陆长柄武器原胚
101106: 北陆单手剑
101107: 北陆弓
101108: 北陆双手剑
101109: 北陆法器
101110: 北陆长柄武器
101201: 鬼兜虫
101202: 绯樱绣球
101203: 晶化骨髓
101204: 血斛
101205: 鸣草
101206: 海灵芝
101207: 珊瑚真珠
101208: 天云草实
101209: 幽灯蕈
101210: 海草
101211: 堇瓜
101212: 星蕈
101301: 桦木
101302: 萃华木
101303: 松木
101304: 却砂木
101305: 竹节
101306: （test）能量木材
101307: 垂香木
101308: 杉木
101309: 梦见木
101310: 枫木
101311: 孔雀木
101312: 御伽木
101401: 布匹
101402: 红色染料
101403: 黄色染料
101404: 蓝色染料
130001: 「霓裳花」的种子
130002: 「甜甜花」的种子
130003: 「塞西莉亚花」的种子
130004: 「琉璃百合」的种子
130005: 「风车菊」的种子
130006: 「清心」的种子
130007: 「琉璃袋」的种子
130008: 「落落莓」的种子
130009: 「小灯草」的种子
130010: 「绝云椒椒」的种子
130011: 「胡萝卜」的种子
130012: 「白萝卜」的种子
130013: 「薄荷」的种子
130014: 「蘑菇」的孢子
130015: 「鸣草」的种子
130016: 「马尾」的种子
130017: 「金鱼草」的种子
130018: 「莲蓬」的种子
130019: 「嘟嘟莲」的种子
130020: 「海草」的种子
130021: 「海灵芝」的样本
130022: 「梦里花·星槿」的花种
130023: 「梦里花·棠铃」的花种
130024: 「梦里花·绣荚」的花种
131000: 花鳉
131001: 琉璃花鳉
131002: 甜甜花鳉
131003: 蓝染花鳉
131004: 擒霞客
131005: 水晶宴
131006: 肺棘鱼
131007: 斗棘鱼
131008: 鸩棘鱼
131009: 赤魔王
131010: 雪中君
131011: 金赤假龙
131012: 锖假龙
131013: 流纹褐蝶鱼
131014: 流纹京紫蝶鱼
131015: 流纹茶蝶鱼
131016: 长生仙
131017: 雷鸣仙
131019: 炮鲀
131020: 苦炮鲀
131021: 迪芙妲鳐
131022: 佛玛洛鳐
100003: 纸条
100004: 掠夺的货物
100006: 丘丘人解药
100007: 攀爬终点花环
100008: 飞行终点花环
100009: 飞行终点花环
100010: 飞行冠军奖杯
100101: 琴的文件包裹
100102: 《极限逃生》
100103: 残缺乐谱（上半章）
100104: 残缺乐谱（下半章）
100105: 丽莎给琴的私信
100106: 《秋宵》
100107: 看上去很好吃
100108: 药剂
100109: 芭芭拉的治疗
100110: 诗篇断章（上）
100111: 诗篇断章（中）
100112: 诗篇断章（下）
100113: 拓下来
100114: 恢复人形药剂
100115: 天空之琴
100120: 蛐蛐毛
100121: 蛐蛐（白）
100122: 蛐蛐（蓝）
100123: 蛐蛐（紫）
100124: 蛐蛐（金）
100125: 水琥珀
100126: 风琥珀
100131: 随机宝物甲
100132: 随机宝物乙
100133: 随机宝物甲
100134: 随机宝物乙
100135: 赤色的结晶
100136: 封印线索101
100137: 封印线索102
100138: 封印线索103
100139: 封印线索201
100140: 封印线索202
100141: 封印线索203
100142: 封印线索301
100143: 封印线索302
100144: 封印线索303
100145: 解开封印1
100146: 解开封印2
100147: 解开封印3
100148: 调查风魔龙巢穴封印
100149: 解开风魔龙巢穴封印
100151: 破碎的记忆（风）
100152: 剑冢封印1
100153: 剑冢封印2
100154: 剑冢封印3
100158: 泪滴结晶
100159: 泪滴结晶
100160: 泪滴结晶
100161: 天空之琴
100162: 略微修复的天空之琴
100163: 完全修复的天空之琴
100164: 清澈的风龙泪滴
100165: 被毁坏的天空之琴
100171: 宝藏的线索(一)
100172: 宝藏的线索(二)
100173: 藏宝图
100174: 万能临时交互
100175: 秘藏的钥匙
100176: 黑色钥匙
100177: 场景交互
100178: 少女薇拉的忧郁·卷一
100179: 少女薇拉的忧郁·卷二
100180: 少女薇拉的忧郁·卷三
100181: 与神性同行·序言
100182: 温妮莎传奇·上篇
100183: 温妮莎传奇·下篇
100184: 海报
100185: 海报
100186: 蒙德百货订货板
100187: 猫尾酒馆留言板
100188: 蒲公英海的狐狸·卷一
100189: 蒲公英海的狐狸·卷二
100190: 蒲公英海的狐狸·卷三
100191: 蒲公英海的狐狸·卷五
100192: 蒲公英海的狐狸·卷六
100193: 蒲公英海的狐狸·卷七
100194: 蒲公英海的狐狸·卷十
100195: 蒲公英海的狐狸·卷十一
100196: 丘丘人诗歌选·上卷
100197: 丘丘人诗歌选·下卷
100198: 少女薇拉的忧郁·卷五
100199: 少女薇拉的忧郁·卷九
100200: 少女薇拉的忧郁·卷十
100201: 林间风·故事拔萃节选
100202: 野猪公主·卷一
100203: 野猪公主·卷二
100204: 野猪公主·卷三
100205: 野猪公主·卷四
100206: 野猪公主·卷五
100207: 野猪公主·卷七
100208: 蒙德高塔·第一卷
100236: 飞行指南
100210: 元素的痕迹
100211: 断裂的树枝
100212: 碎掉的布片
100213: 林间风拾遗·龙之书
100214: 来自深渊教团的信
100215: 白之公主与六侏儒·卷一
100216: 白之公主与六侏儒·卷二
100217: 白之公主与六侏儒·卷三
100218: 白之公主与六侏儒·卷四
100219: 白之公主与六侏儒·卷五
100220: 白之公主与六侏儒·卷六
100221: 白之公主与六侏儒·卷七
100222: 千年孤独
100223: 提瓦特游览指南·蒙德篇
100224: 风、勇气和翅膀
100225: 狩猎陷阱
100226: 冒险家罗尔德的日志·轻策山庄
100227: 冒险家罗尔德的日志·渌华池
100228: 冒险家罗尔德的日志·瑶光滩
100229: 给东东的信
100230: 谁人的日志·其一·瑶光滩
100239: 谁人的日志·其二·归离原
100240: 谁人的日志·其三·绝云间
100241: 谁人的日志·其四·璃月港
100231: 散落的书页
100232: 完整的书本
100245: 山与海之书
100246: 《百人一揆～最强武斗大会篇～》样稿
100233: 肥美的蘑菇
100234: 新鲜的胡萝卜
100235: 饱满的卷心菜
100237: 岚生石
100238: 霞生石
100242: 给盗宝团的信
100243: 玉石戒指
100244: 美味的黄金蟹
100301: 怀尔德的红色钥匙
100302: 怀尔德的黑色钥匙
100303: 钱袋
100304: 装着餐费的钱包
100305: 美味的蜜酱胡萝卜煎肉
100306: 结实的木板
100307: 脆弱的木板
100308: 一捆绳索
100309: 装着餐费的钱包
100310: 丢失的钱包
100311: 装着餐费的钱包
100312: 美味的炸萝卜丸子
100313: 美味的嘟嘟莲海鲜羹
100314: 一袋货物
100315: 加工后的夜泊石
100316: 「蒙德落日」
100317: 「玛格丽特」
100318: 「重击」
100319: 「明珠」
100320: 颜色杂乱的「蒙德落日」
