369101: 翠目猫
369102: 北地犬
369103: 野林猪
369104: 蓝翎鹭
369105: 巡林犬
369106: 柴犬
369107: 黑背猎犬
369108: 北地猫
369109: 虎纹猫
369110: 警长猫
368101: 枫原万叶
368102: 烟绯
368103: 优菈
368104: 琴
368105: 丽莎
368106: 芭芭拉
368107: 凯亚
368108: 迪卢克
368109: 雷泽
368110: 安柏
368111: 温迪
368112: 香菱
368113: 北斗
368114: 行秋
368115: 魈
368116: 凝光
368117: 可莉
368118: 钟离
368119: 菲谢尔
368120: 班尼特
368121: 达达利亚
368122: 诺艾尔
368123: 七七
368124: 重云
368125: 甘雨
368126: 阿贝多
368127: 迪奥娜
368128: 莫娜
368129: 刻晴
368130: 砂糖
368131: 辛焱
368132: 罗莎莉亚
368133: 胡桃
368135: 宵宫
368136: 早柚
368137: 神里绫华
368138: 雷电将军
368139: 珊瑚宫心海
368140: 九条裟罗
368141: 埃洛伊
368142: 托马
368143: 五郎
368144: 荒泷一斗
368145: 申鹤
368146: 云堇
368147: 八重神子
368148: 神里绫人
360101: 玉面檐枋墙
360102: 深色木制拱劵墙
360201: 垂香木传统地板
360202: 异色方格地砖
360301: 垂香木方格天花板
360302: 暗纹方格天花板
360401: 双层烛台吊灯
360402: 八方灯笼-「时运亨通」
360403: 六角灯笼-「和气致祥」
360404: 「南瓜鬼怪狂欢夜」
360405: 锦缎华灯-「飞阁流丹」
364301: 垂香木窗格房门
364302: 骑士团杉木房门
364401: 垂香木转角阶梯
364402: 杉木转角阶梯
372101: 外景磐石-「却笠」
372102: 外景磐石-「磈垒」
372103: 外景磐石-「碧峭」
372104: 外景磐石-「眠云」
372105: 外景磐石-「天阶」
372106: 外景磐石-「玲珑」
361301: 厚重的图书馆长桌
361302: 骑士团的办公桌
361303: 骑士团的会议桌
361101: 极北桦木折角柜台
361304: 阔面石制炉灶
361305: 便携炉灶
361306: 菱形桌布的长桌
361307: 多重餐位松木圆桌
361308: 木纹雅致的书法桌案
361309: 松木方形茶桌
361501: 松木客栈柜台
361310: 垂香木朱漆圆桌
362201: 北地石制壁炉
363301: 古典诗琴-「听风的思绪」
364201: 木版画餐厅招牌
362202: 松木折屏-「云来帆影」
362203: 硬木座屏-「绝云晨雾」
362101: 柔软的会客厅沙发
362102: 「晴空蓝的午后」
362103: 「坚定意志」
362104: 松木餐椅
362105: 松木靠背茶椅
362106: 松木朱漆圆凳
364202: 明净的花瓶形壁灯
363101: 恒亮不熄的提灯
363102: 琉璃亭却砂木立灯
363103: 天圆灯笼-「明烛兰芳」
361311: 稳固的桦木梳妆台
361201: 图书馆双层书架
361202: 萃华木臻品书架
361203: 萃华木经济书架
361204: 「易逝于书页翻飞间」
361205: 「司书的宝库」
361102: 开顶杉木货架
361103: 组合式杉木货柜
361104: 古典杉木储藏柜
361206: 朱漆垂香木卷轴书架
361207: 朱漆垂香木百宝阁
361208: 垂香木商铺立柜
362301: 蒙德地毯-「明红的热忱」
362302: 蒙德地毯-「不倦的寻索」
362303: 客栈地毯-「宾至如归」
362304: 迎宾地毯-「惠然之顾」
364203: 半旧的圆盾
364204: 半旧的盾牌
364205: 半旧的单手剑
364101: 风景画-「乡野民居」
364102: 风景画-「远空层云」
364103: 风景画-「无名高崖」
364206: 战斗意志旗
364207: 纯净灵魂旗
364208: 骑士团剑盾徽章
364209: 壁挂式记录板
364210: 壁挂式广告牌
364104: 工笔淡彩-「珉林千峰」
364105: 工笔淡彩-「盏中春红」
364106: 工笔淡彩-「雾海叠嶂」
363302: 整齐叠放的书本
363303: 「学者的倦怠」
363304: 「书信的礼节」
363305: 精巧的沙漏摆件
363201: 花卉瓶栽-「淡蓝的从容」
363202: 绿植盆栽-「澄澈的清风」
363203: 花卉瓶栽-「盛放的曙红」
363204: 花卉盆栽-「甜蜜的伪装」
363306: 炼金装置-「水火之间」
363307: 炼金器件-「尘埃的重量」
363308: 纸墨笔砚-「临池学书」
363205: 绿植盆栽-「松青尺树上」
363309: 金色三重烛台
361401: 柔风加护的床榻
361402: 烟霞云梦榻
