28010101: 黃金蟹
28010102: 太陽蟹
28010103: 海藍蟹
28010104: 將軍蟹
28010105: 薄紅蟹
28010106: 螃蟹
28010201: 藍角蜥
28010202: 紅角蜥
28010203: 綠角蜥
28010204: 落日鰍鰍
28010205: 金鰍鰍
28010206: 晴天鰍鰍
28010207: 嗜髓蜥
28010301: 青蛙
28010302: 泥蛙
28010303: 藍蛙
28010401: 藤紋陸鰻鰻
28010402: 深海鰻鰻
28010403: 赤鰭陸鰻鰻
28020101: 雪狐
28020102: 紅狐
28020103: 送禮雪狐
28020104: 送大禮雪狐
28020105: 雪狐
28020106: 紅狐
28020201: 松鼠
28020301: 野林豬
28020302: 小野林豬
28020303: 雪豬
28020304: 「大雪豬王」
28020305: 冰凍雪豬
28020306: 雪豬
28020307: 野林豬
28020308: 冰凍雪豬
28020309: 「大雪豬王」
28020401: 北地犬
28020402: 巡林犬
28020403: 柴犬
28020404: 黑背獵犬
28020405: 柴犬
28020406: 北地犬
28020407: 北地犬
28020408: 巡林犬
28020409: 柴犬
28020410: 黑背獵犬
28020501: 藍寶石
28020502: 翠目貓
28020503: 灰雪貓
28020504: 北地貓
28020505: 虎紋貓
28020506: 警長貓
28020507: 黑貓
28020508: 藍寶石
28020509: 灰雪貓
28020510: 翠目貓
28020511: 灰雪貓
28020512: 北地貓
28020513: 虎紋貓
28020601: 雪隱鼬
28020602: 紅尾鼬
28020603: 靴子鼬
28020604: 面具鼬
28020605: 青雷鼬
28020701: 狐
28020702: 狐
28020801: 妖狸
28020802: 「吉法師」
28020803: 妖狸
28020901: 武士狗分身（test）
28020902: 武士狗boss（test）
28020903: 太郎丸
28030101: 藍翎鷺
28030102: 菫䴉
28030201: 茶羽鷹
28030202: 棕翎鷹
28030203: 石鳶
28030204: 白練鷹
28030301: 白鴿
28030302: 璃冠鴿
28030303: 灰羽鴿
28030304: 赤脅鴿
28030305: 黑王鴿
28030306: 鴉
28030307: 白鴿
28030308: 璃冠鴿
28030309: 灰羽鴿
28030310: 赤脅鴿
28030311: 黑王鴿
28030401: 赤團雀
28030402: 金團雀
28030403: 雪團雀
28030404: 碧團雀
28030405: 金團雀
28030406: 赤團雀
28030407: 金團雀
28030408: 雪團雀
28030409: 碧團雀
28030501: 赤喙鴨
28030502: 翠冠鴨
28030503: 沉金鴨
28030504: 赤喙鴨
28040101: 黑背鱸魚
28040102: 藍鰭鱸魚
28040103: 黃金鱸魚
28040104: 黑背鱸魚
28040105: 黑背鱸魚
28040106: 藍鰭鱸魚
28040107: 黃金鱸魚
28040108: 黑背鱸魚
28040201: 花鱂
28040202: 琉璃花鱂
28040203: 甜甜花鱂
28040204: 藍染花鱂
28040205: 擒霞客
28040206: 水晶宴
28040301: 肺棘魚
28040302: 鬥棘魚
28040303: 鴆棘魚
28040304: 赤魔王
28040305: 雪中君
28040401: 金赤假龍
28040402: 錆假龍
28040501: 流紋褐蝶魚
28040502: 流紋京紫蝶魚
28040503: 流紋茶蝶魚
28040504: 長生仙
28040505: 雷鳴仙
28040506: 月光鰭
28040601: 炮魨
28040602: 苦炮魨
28040701: 迪芙妲鰩
28040702: 佛瑪洛鰩
28040703: 幽浮鰩
28050101: 風晶蝶
28050102: 岩晶蝶
28050103: 冰晶蝶
28050104: 雷晶蝶
