101021: 生命值+24
101022: 生命值+30
201021: 生命值+50
201022: 生命值+61
201023: 生命值+72
301021: 生命值+100
301022: 生命值+115
301023: 生命值+129
301024: 生命值+143
401021: 生命值+167
401022: 生命值+191
401023: 生命值+215
401024: 生命值+239
501021: 生命值+209
501022: 生命值+239
501023: 生命值+269
501024: 生命值+299
101031: 生命值百分比+1.2%
101032: 生命值百分比+1.5%
201031: 生命值百分比+1.6%
201032: 生命值百分比+2.0%
201033: 生命值百分比+2.3%
301031: 生命值百分比+2.4%
301032: 生命值百分比+2.8%
301033: 生命值百分比+3.2%
301034: 生命值百分比+3.5%
401031: 生命值百分比+3.3%
401032: 生命值百分比+3.7%
401033: 生命值百分比+4.2%
401034: 生命值百分比+4.7%
501031: 生命值百分比+4.1%
501032: 生命值百分比+4.7%
501033: 生命值百分比+5.2%
501034: 生命值百分比+5.8%
101051: 攻擊力+2
101052: 攻擊力+2
201051: 攻擊力+3
201052: 攻擊力+4
201053: 攻擊力+5
301051: 攻擊力+7
301052: 攻擊力+7
301053: 攻擊力+8
301054: 攻擊力+9
401051: 攻擊力+11
401052: 攻擊力+12
401053: 攻擊力+14
401054: 攻擊力+16
501051: 攻擊力+14
501052: 攻擊力+16
501053: 攻擊力+18
501054: 攻擊力+19
101061: 攻擊力百分比+1.2%
101062: 攻擊力百分比+1.5%
201061: 攻擊力百分比+1.6%
201062: 攻擊力百分比+2.0%
201063: 攻擊力百分比+2.3%
301061: 攻擊力百分比+2.4%
301062: 攻擊力百分比+2.8%
301063: 攻擊力百分比+3.2%
301064: 攻擊力百分比+3.5%
401061: 攻擊力百分比+3.3%
401062: 攻擊力百分比+3.7%
401063: 攻擊力百分比+4.2%
401064: 攻擊力百分比+4.7%
501061: 攻擊力百分比+4.1%
501062: 攻擊力百分比+4.7%
501063: 攻擊力百分比+5.2%
501064: 攻擊力百分比+5.8%
101081: 防禦力+2
101082: 防禦力+2
201081: 防禦力+4
201082: 防禦力+5
201083: 防禦力+6
301081: 防禦力+8
301082: 防禦力+9
301083: 防禦力+10
301084: 防禦力+11
401081: 防禦力+13
401082: 防禦力+15
401083: 防禦力+17
401084: 防禦力+19
501081: 防禦力+16
501082: 防禦力+19
501083: 防禦力+21
501084: 防禦力+23
101091: 防禦力百分比+1.5%
101092: 防禦力百分比+1.8%
201091: 防禦力百分比+2.0%
201092: 防禦力百分比+2.5%
201093: 防禦力百分比+2.9%
301091: 防禦力百分比+3.1%
301092: 防禦力百分比+3.5%
301093: 防禦力百分比+3.9%
301094: 防禦力百分比+4.4%
401091: 防禦力百分比+4.1%
401092: 防禦力百分比+4.7%
401093: 防禦力百分比+5.2%
401094: 防禦力百分比+5.8%
501091: 防禦力百分比+5.1%
501092: 防禦力百分比+5.8%
501093: 防禦力百分比+6.6%
501094: 防禦力百分比+7.3%
101231: 元素充能效率+1.3%
101232: 元素充能效率+1.6%
201231: 元素充能效率+1.8%
201232: 元素充能效率+2.2%
201233: 元素充能效率+2.6%
301231: 元素充能效率+2.7%
301232: 元素充能效率+3.1%
301233: 元素充能效率+3.5%
301234: 元素充能效率+3.9%
401231: 元素充能效率+3.6%
401232: 元素充能效率+4.1%
401233: 元素充能效率+4.7%
401234: 元素充能效率+5.2%
501231: 元素充能效率+4.5%
501232: 元素充能效率+5.2%
501233: 元素充能效率+5.8%
501234: 元素充能效率+6.5%
101241: 元素精通+5
101242: 元素精通+6
201241: 元素精通+7
201242: 元素精通+8
201243: 元素精通+9
301241: 元素精通+10
301242: 元素精通+11
301243: 元素精通+13
301244: 元素精通+14
401241: 元素精通+13
401242: 元素精通+15
401243: 元素精通+17
401244: 元素精通+19
501241: 元素精通+16
501242: 元素精通+19
501243: 元素精通+21
