1002: 神里綾華
1003: 琴
1005: 空
1006: 麗莎
1007: 熒
1014: 芭芭拉
1015: 凱亞
1016: 迪盧克
1020: 雷澤
1021: 安柏
1022: 溫迪
1023: 香菱
1024: 北斗
1025: 行秋
1026: 魈
1027: 凝光
1029: 可莉
1030: 鍾離
1031: 菲謝爾
1032: 班尼特
1033: 達達利亞
1034: 諾艾爾
1035: 七七
1036: 重雲
1037: 甘雨
1038: 阿貝多
1039: 迪奧娜
1041: 莫娜
1042: 刻晴
1043: 砂糖
1044: 辛焱
1045: 蘿莎莉亞
1046: 胡桃
1047: 楓原萬葉
1048: 煙緋
1049: 宵宮
1050: 托馬
1051: 優菈
1052: 雷電將軍
1053: 早柚
1054: 珊瑚宮心海
1055: 五郎
1056: 九條裟羅
1057: 荒瀧一斗
1058: 八重神子
1060: 夜蘭
1062: 亞蘿伊
1063: 申鶴
1064: 雲堇
1065: 久岐忍
1066: 神里綾人
1067: 柯萊
1068: 多莉
1069: 提納裏
