101: 角色經驗
102: 冒險閱歷
103: 星塵
104: 星輝
105: 好感經驗
106: 原粹樹脂
107: 傳說鑰匙
108: 
109: 熄星能量
110: 熄星精粹
111: 微光精粹
112: 溫暖精粹
113: 奇蹟精粹
114: 鐵錢
115: 平安玉符
116: 節慶熱度
117: 奇術符
118: 慶典巡迴券
119: 奇趣協力券
120: 純水真心
121: 信任值
122: 碎果數據
123: 迷蹤幣
124: 亮閃閃的漂流物
125: 迷你「羽球」
126: 神秘齒輪
127: 鳴雷霰子
128: 鳴雷純晶
129: 弈棋術經驗
130: 靈妙玉符
131: 逐月節節慶熱度
132: 殘悴之式札
133: 虛損之拓本
134: 朽裂之庚牌
135: 踏雪章
136: 克險章
137: 逢福玉符
138: 完璧玉符
139: 降魔玉符
140: 幽蘊礪石
142: 戰策碎珀
201: 原石
202: 摩拉
203: 創世結晶
204: 洞天寶錢
210: 原粹精珀（廢棄）
211: 原粹樹脂
221: 無主的星輝
222: 無主的星塵
223: 糾纏之緣
224: 相遇之緣
301: 火之印
302: 水之印
303: 草之印
304: 雷之印
305: 風之印
306: 冰之印
307: 岩之印
314: 聲望經驗·稻妻
315: 聲望經驗·蒙德
317: 聲望經驗·璃月
911: 恆常燃燒的記憶
912: 奔流不息的記憶
913: 草木繁茂的記憶
914: 蒼雷紫電的記憶
915: 四方之風的記憶
916: 至冬極寒的記憶
917: 不動晶石的記憶
1102: 神里綾華的命星
1103: 琴的命星
1105: 旅行者（男）的命星
1106: 麗莎的命星
1107: 旅行者（女）的命星
1114: 芭芭拉的命星
1115: 凱亞的命星
1116: 迪盧克的命星
1120: 雷澤的命星
1121: 安柏的命星
1122: 溫迪的命星
1123: 香菱的命星
1124: 北斗的命星
1125: 行秋的命星
1126: 魈的命星
1127: 凝光的命星
1129: 可莉的命星
1130: 鍾離的命星
1131: 菲謝爾的命星
1132: 班尼特的命星
1133: 達達利亞的命星
1134: 諾艾爾的命星
1135: 七七的命星
1136: 重雲的命星
1137: 甘雨的命星
1138: 阿貝多的命星
1139: 迪奥娜的命星
1141: 莫娜的命星
1142: 刻晴的命星
1143: 砂糖的命星
1144: 辛焱的命星
1145: 蘿莎莉亞的命星
1146: 胡桃的命星
1147: 楓原萬葉的命星
1148: 煙緋的命星
1149: 宵宫的命星
1150: 托馬的命星
1151: 優菈的命星
1152: 雷電將軍的命星
1153: 早柚的命星
1154: 珊瑚宮心海的命星
1155: 五郎的命星
1156: 九條裟羅的命星
1157: 荒瀧一斗的命星
1158: 八重神子的命星
1160: 夜蘭的命星
1162: 亞蘿伊的命星
1163: 申鶴的命星
1164: 雲堇的命星
1165: 久岐忍的命星
1166: 神里綾人的命星
1201: 珍珠紀行·初稿
1202: 空月祝福·新月
2001: 元素能量球(火)
2002: 元素能量球(水)
2003: 元素能量球(草)
2004: 元素能量球(雷)
2005: 元素能量球(風)
2006: 元素能量球(冰)
2007: 元素能量球(岩)
2008: 元素能量球(全)
2017: 原子能量球(火)
2018: 原子能量球(水)
2019: 原子能量球(草)
2020: 原子能量球(雷)
