20010101: 草史萊姆
20010201: 大型草史萊姆
20010202: 大型草史萊姆
20010301: 風史萊姆
20010302: 風史萊姆（塔防）
20010401: 大型風史萊姆
20010402: 大型風史萊姆（塔防）
20010403: 大型風史萊姆
20010501: 雷史萊姆
20010502: 雷史萊姆（塔防）
20010601: 大型雷史萊姆
20010602: 大型雷史萊姆（塔防）
20010604: 大型雷史萊姆
20010701: 變異雷史萊姆
20010702: 變異雷史萊姆
20010703: 變異雷史萊姆（塔防）
20010801: 冰史萊姆
20010802: 冰史萊姆-雪山活動
20010803: 冰史萊姆（塔防）
20010901: 大型冰史萊姆
20010902: 大型冰史萊姆-雪山活動
20010903: 大型冰史萊姆（塔防）
20010904: 大型冰史萊姆
20011001: 水史萊姆
20011002: 水史萊姆（塔防）
20011101: 大型水史萊姆
20011102: 大型水史萊姆（塔防）
20011103: 大型水史萊姆
20011201: 火史萊姆
20011202: 火史萊姆
20011203: 火史萊姆（塔防）
20011301: 大型火史萊姆
20011302: 大型火史萊姆（塔防）
20011304: 大型火史萊姆
20011401: 岩史萊姆
20011402: 岩史萊姆（塔防）
20011501: 大型岩史萊姆
20011502: 大型岩史萊姆
20011503: 大型岩史萊姆（塔防）
20011601: 無相之水-召喚物-大分裂
20011701: 無相之水-召喚物-小分裂
20011801: 無相之水-召喚物-自爆
20011901: 無相之水-召喚物-回血
20020101: 狂風之核
20040101: 無相之雷 阿萊夫
20040102: （活動）無相之雷 阿萊夫
20040201: 無相之風 貝特
20040202: （活動）無相之風 貝特
20040301: 無相之岩 基末爾
20040302: （活動）無相之岩 基末爾
20040401: 無相之水
20040501: 無相之冰 塔勒特
20040601: 無相之火 亞因
20050101: 純水精靈
20050102: 純水精靈（本體）
20050201: 純水之豬
20050202: 純水之豬（強化）
20050203: 純水之豬
20050301: 純水之鶴
20050302: 純水之鶴
20050401: 純水之蟹
20050402: 純水之蟹（強化）
20050403: 純水之蟹
20050501: 純水之雀
20050502: 純水之雀
20050601: 純水之鴨
20050602: 純水之鴨（陸地行走版）
20050603: 純水之鴨
20050701: 純水之鼠
20050702: 純水之鼠（強化）
20050703: 純水之鼠
20050801: 純水之蛙
20050802: 純水之蛙
20050901: 純水之鷹
20060101: 水飄浮靈
20060201: 岩飄浮靈
20060301: 風飄浮靈
20060401: 冰飄浮靈
20060501: 雷飄浮靈
20060601: 火飄浮靈
20070101: 雷音權現
21010101: 丘丘人
21010102: 丘丘人（塔防）
21010201: 打手丘丘人
21010301: 木盾丘丘人
